Fecha,Inf Acumulado,1 ola,Olas múltiples
13/03/20,1,5.2398260919,9.107366444
14/03/20,1,5.8806216327,9.9047396423
15/03/20,1,6.621975316,10.7959748246
16/03/20,3,7.4802601359,11.7935143666
17/03/20,4,8.3475399092,12.7976883731
18/03/20,8,9.3104415955,13.8872911003
19/03/20,13,10.3787325456,15.0695911202
20/03/20,13,11.563020625,16.3524876981
21/03/20,17,12.8748629333,17.7445337046
22/03/20,19,14.3268199013,19.255066663
23/03/20,19,15.9324958353,20.8942226462
24/03/20,23,17.7066076952,22.6730660259
25/03/20,29,19.6650538737,24.6037177448
26/03/20,32,21.824982974,26.6990676672
27/03/20,36,24.2048624409,28.9729412735
28/03/20,39,26.8245078572,31.4402875035
29/03/20,41,29.7051188989,34.1173666001
30/03/20,46,32.8693075692,37.0219379528
31/03/20,50,36.3410293652,40.173318192
01/04/20,53,40.1457513047,43.5924407601
02/04/20,54,44.3106518651,47.3023314047
03/04/20,61,48.8645723222,51.3281293276
04/04/20,63,53.8379664959,55.6970871842
05/04/20,68,59.262850495,60.4385710843
06/04/20,75,65.1727524627,65.5843681917
07/04/20,78,71.6027311554,71.1695694129
08/04/20,83,78.5891576616,77.2314660268
09/04/20,91,86.1694652073,83.8099569233
10/04/20,93,94.3821475635,90.9481388013
11/04/20,106,103.2666156689,98.6928963654
12/04/20,108,112.8625667304,107.095492524
13/04/20,117,123.2111442917,116.2118509859
14/04/20,120,134.3547420753,126.1022637696
15/04/20,133,146.3365250119,136.833084771
16/04/20,137,159.1999502693,148.4769127221
17/04/20,146,172.9882882821,161.1125911902
18/04/20,179,187.7442871571,174.8252085791
19/04/20,183,203.5103246031,189.7060981278
20/04/20,199,220.3267688909,205.853149052
21/04/20,202,238.2316960407,223.3722733387
22/04/20,207,257.2608898224,242.3769610662
23/04/20,242,277.4478417555,262.9875478561
24/04/20,273,298.8236817959,285.3304723416
25/04/20,309,321.416628406,309.5350948336
26/04/20,331,345.2522903793,335.7324979408
27/04/20,361,370.3533418637,364.0406516337
28/04/20,386,396.7390178417,394.5435407867
29/04/20,411,424.4246096097,427.2833022513
30/04/20,456,453.4209602588,462.2160696321
01/05/20,497,483.734029467,499.0612656562
02/05/20,540,515.3649389094,537.2916771693
03/05/20,595,548.3091659139,576.1346695882
04/05/20,614,582.5563639171,614.5867257696
05/05/20,656,618.0903624649,651.4470562036
06/05/20,696,654.8891672119,685.4829148558
07/05/20,735,692.924959922,721.1427942755
08/05/20,761,732.1643126779,756.6015182265
09/05/20,798,772.5698415742,792.2263856629
10/05/20,837,814.0987218838,828.5023159277
11/05/20,856,856.7027414156,866.2289208395
12/05/20,891,900.3288878846,906.5455481042
13/05/20,932,944.9199362815,950.5589936612
14/05/20,982,990.4150362425,993.7457776898
15/05/20,1035,1036.7500852088,1038.075160955
16/05/20,1094,1083.8566621036,1083.5186157223
17/05/20,1125,1131.6640995354,1130.1214810392
18/05/20,1164,1180.1000178097,1177.8237210173
19/05/20,1218,1229.0903249292,1226.4352047003
20/05/20,1257,1278.5592165932,1275.8257476391
21/05/20,1337,1328.4291761983,1325.8498851496
22/05/20,1378,1378.6211497518,1376.3383252317
23/05/20,1432,1429.0563323647,1427.1414327308
24/05/20,1500,1479.6558864725,1478.1388217544
25/05/20,1536,1530.3412855669,1529.223945691
26/05/20,1581,1581.035019828,1580.2725942632
27/05/20,1616,1631.6613017563,1631.1643569914
28/05/20,1675,1682.1467718042,1681.7927327686
29/05/20,1710,1732.4210290941,1732.0625117807
30/05/20,1785,1782.4155505577,1781.8890226605
31/05/20,1837,1832.0646783471,1831.19683609
01/06/20,1877,1881.3059817343,1879.9225771429
02/06/20,1933,1930.0802571117,1928.0206070639
03/06/20,1976,1978.3315279917,1975.4412571252
04/06/20,2028,2026.0070450066,2028.477106862
05/06/20,2075,2073.0572969831,2086.4908984688
06/06/20,2116,2119.4363067621,2150.3310053078
07/06/20,2146,2165.1019171698,2220.6011217722
08/06/20,2167,2210.0157643088,2297.7472636479
09/06/20,2212,2254.1432372682,2382.0823652572
10/06/20,2299,2297.4534378342,2473.8212415919
11/06/20,2357,2339.9191401995,2566.7641422671
12/06/20,2420,2381.5167396003,2661.5897457235
13/06/20,2488,2422.2259162058,2757.4573489589
14/06/20,,2462.0293088574,2853.7549642009
15/06/20,,2500.9125014881,2950.0227157048
16/06/20,,2538.8640231221,3045.8914552766
17/06/20,,2575.8753478751,3141.0598215624
18/06/20,,2611.9408949539,3235.2800025638
19/06/20,,2647.0579775499,3328.3520100831
20/06/20,,2681.2262659181,3420.1214023036
21/06/20,,2714.4478086075,3510.4759646094
22/06/20,,2746.7268625756,3599.3320886962
23/06/20,,2778.0696182561,3686.6040639423
24/06/20,,2808.4839246262,3772.2200643683
25/06/20,,2837.9790142747,3856.1255709969
26/06/20,,2866.5652795766,3938.2856573523
27/06/20,,2894.254534681,4018.6870061844
28/06/20,,2921.0597193487,4097.3394171128
29/06/20,,2946.9947939055,4174.2146630734
30/06/20,,2972.0747392419,4249.2846323535
01/07/20,,2996.3155568134,4322.5480726
02/07/20,,3019.7342686402,4394.0245570323
03/07/20,,3042.3488827688,4463.7499526647
04/07/20,,3064.177920389,4531.7718902179
05/07/20,,3085.2402422199,4598.0945748608
06/07/20,,3105.5549527286,4662.6966268415
07/07/20,,3125.1412550157,4725.5926474176
08/07/20,,3144.0183057004,4786.8162365073
09/07/20,,3162.2050698058,4846.4137512501
10/07/20,,3179.7202101833,4904.43803158
11/07/20,,3196.5824152799,4960.9215223828
12/07/20,,3212.8104276384,5015.8659175187
13/07/20,,3228.4229945633,5069.2918015475
14/07/20,,3243.4388681212,5121.2284156215
15/07/20,,3257.8768051406,5171.7120193639
16/07/20,,3271.755567212,5220.7842730513
17/07/20,,3285.093887311,5268.4902640816
18/07/20,,3297.9100639646,5314.8642529818
19/07/20,,3310.2219374705,5359.9332139303
20/07/20,,3322.0469031269,5403.7190789043
21/07/20,,3333.4018702969,5446.2430226322
22/07/20,,3344.303221472,5487.5298404
23/07/20,,3354.7667713359,5527.6123198709
24/07/20,,3364.8077592051,5566.5348353399
25/07/20,,3374.4412139261,5604.3153292475
26/07/20,,3383.6819367208,5640.9747744375
27/07/20,,3392.5444470191,5676.5575733059
28/07/20,,3401.0429824596,5711.1217776082
29/07/20,,3409.527505695,5745.7160364384
30/07/20,,3417.5412673361,5779.0104222726
31/07/20,,3425.1117282095,5810.9433597722
