Día,Susceptibles,Expuestos,Infectados,Recuperados,Infectados acumulados
1,453920,0,3,0,0
2,453920,2.6834,2.3767,0.9,0.3
3,453920,4.4026,2.2865,1.7,1
4,453910,6.021,2.4935,2.5,2
5,453910,7.0208,2.8546,3.4,3.3
6,453910,7.8466,3.2593,4.5,4.7
7,453910,9.0495,3.7131,5.7,6.4
8,453900,10.3147,4.2415,7.1,8.3
9,453900,11.6172,4.8291,8.6,10.5
10,453900,12.2067,5.4127,10.4,12.8
11,453890,12.429,5.8714,12.3,15.2
12,453890,12.6518,6.2384,14.4,17.7
13,453890,14.0375,6.6295,16.6,20.3
14,453880,15.6603,7.1633,19,23.2
15,453880,17.2201,7.8077,21.6,26.4
16,453870,18.8977,8.5305,24.4,29.9
17,453870,20.7791,9.3434,27.5,33.8
18,453860,22.4795,10.2138,30.9,38.1
19,453860,23.4118,11.0486,34.5,42.6
20,453850,25.5503,11.8855,38.5,47.4
21,453840,28.0499,12.8685,42.7,52.6
22,453830,30.4003,13.9728,47.4,58.3
23,453830,32.4692,15.1141,52.4,64.5
24,453820,34.6575,16.2897,57.8,71.1
25,453810,36.1206,17.4321,63.6,78.1
26,453800,36.597,18.3851,69.8,85.2
27,453790,38.5381,19.2409,76.3,92.5
28,453780,41.1724,20.2492,83.1,100.3
29,453770,43.8939,21.4122,90.3,108.7
30,453760,46.081,22.645,97.9,117.5
31,453750,47.4198,23.7883,105.9,126.7
32,453740,49.56,24.9065,114.3,136.2
33,453730,50.6297,25.9672,123,146
34,453710,54.4358,27.1037,132.2,156.3
35,453700,58.342,28.5652,141.8,167.3
36,453680,62.1365,30.2429,151.9,179.2
37,453660,65.9801,32.0679,162.6,191.7
38,453650,69.8316,33.9852,174,205
39,453630,74.187,36.031,186.1,219.1
40,453610,79.0798,38.248,198.9,234.2
41,453590,84.0718,40.6783,212.5,250.2
42,453570,89.0142,43.1886,226.9,267.1
43,453540,95.0176,45.8408,242.3,285.1
44,453520,100.5694,48.7254,258.6,304.3
45,453490,104.8543,51.5941,275.9,324.5
46,453470,107.5566,54.1767,294.2,345.3
47,453450,108.7512,56.2573,313.2,366.5
48,453420,114.433,58.3797,333,388.3
49,453390,121.023,60.9057,353.5,411.4
50,453360,128.4834,63.8395,375,435.9
51,453320,137.0314,67.3463,397.6,461.9
52,453290,141.3587,70.794,421.4,489.2
53,453260,147.6242,74.1285,446.4,517.6
54,453230,150.091,77.2202,472.5,546.8
55,453190,157.4282,80.2259,499.7,576.9
56,453150,165.7284,83.6424,527.9,608.6
57,453110,174.1346,87.4739,557.4,641.9
58,453060,183.2165,91.6728,588.3,676.9
59,453020,192.4076,96.0964,620.6,713.7
60,452970,200.6226,100.7939,654.6,752.4
61,452930,203.3039,104.8598,690.1,791.9
62,452880,210.6357,108.5706,726.9,832.5
63,452820,224.453,113.0095,765.1,875.1
64,452760,238.0559,118.4452,804.9,920.4
65,452700,253.4322,124.7372,846.8,968.5
66,452630,272.0665,132.1158,891,1020.1
67,452560,286.9982,139.9249,938,1074.9
68,452480,305.9548,148.3576,987.6,1133
69,452400,326.0198,157.5446,1040.4,1194.9
70,452310,347.1463,167.5003,1096.4,1260.9
71,452220,369.5403,178.1476,1156,1331.1
72,452120,393.3311,189.4917,1219.4,1405.9
73,452020,418.5352,201.6292,1286.8,1485.4
74,451910,445.2571,214.5972,1358.5,1570.1
75,451790,473.7015,228.3631,1434.9,1660.2
